"Index","GSPC.Close"
2010-01-04,NA
2010-01-05,0.00311
2010-01-06,0.00055
2010-01-07,0.00399
2010-01-08,0.00288
2010-01-11,0.00175
2010-01-12,-0.00943
2010-01-13,0.00829
2010-01-14,0.00242
2010-01-15,-0.01088
2010-01-19,0.01242
2010-01-20,-0.01065
2010-01-21,-0.01913
2010-01-22,-0.02239
2010-01-25,0.00459
2010-01-26,-0.00421
2010-01-27,0.00487
2010-01-28,-0.01189
2010-01-29,-0.00988
2010-02-01,0.01417
2010-02-02,0.01289
2010-02-03,-0.00549
2010-02-04,-0.03164
2010-02-05,0.00289
2010-02-08,-0.0089
2010-02-09,0.01296
2010-02-10,-0.00224
2010-02-11,0.00963
2010-02-12,-0.00275
2010-02-16,0.01784
2010-02-17,0.00423
2010-02-18,0.00656
2010-02-19,0.00218
2010-02-22,-0.00105
2010-02-23,-0.01218
2010-02-24,0.00967
2010-02-25,-0.00208
2010-02-26,0.0014
2010-03-01,0.01011
2010-03-02,0.00233
2010-03-03,0.00043
2010-03-04,0.00373
2010-03-05,0.01391
2010-03-08,-0.00018
2010-03-09,0.00171
2010-03-10,0.00451
2010-03-11,0.00403
2010-03-12,-0.00022
2010-03-15,0.00045
2010-03-16,0.00775
2010-03-17,0.0058
2010-03-18,-0.00033
2010-03-19,-0.0051
2010-03-22,0.00508
2010-03-23,0.00715
2010-03-24,-0.00551
2010-03-25,-0.00171
2010-03-26,0.00074
2010-03-29,0.00567
2010-03-30,4e-05
2010-03-31,-0.00328
2010-04-01,0.00739
2010-04-05,0.0079
2010-04-06,0.00168
2010-04-07,-0.00589
2010-04-08,0.00337
2010-04-09,0.00666
2010-04-12,0.00177
2010-04-13,0.00069
2010-04-14,0.01109
2010-04-15,0.00084
2010-04-16,-0.01626
2010-04-19,0.00451
2010-04-20,0.00803
2010-04-21,-0.00102
2010-04-22,0.00226
2010-04-23,0.0071
2010-04-26,-0.00431
2010-04-27,-0.02366
2010-04-28,0.00644
2010-04-29,0.01286
2010-04-30,-0.01679
2010-05-03,0.01304
2010-05-04,-0.02413
2010-05-05,-0.00661
2010-05-06,-0.03289
2010-05-07,-0.01543
2010-05-10,0.04303
2010-05-11,-0.0034
2010-05-12,0.01365
2010-05-13,-0.01222
2010-05-14,-0.01898
2010-05-17,0.00111
2010-05-18,-0.0143
2010-05-19,-0.00514
2010-05-20,-0.03976
2010-05-21,0.01491
2010-05-24,-0.01299
2010-05-25,0.00035
2010-05-26,-0.00568
2010-05-27,0.03235
2010-05-28,-0.01245
2010-06-01,-0.01731
2010-06-02,0.02551
2010-06-03,0.00404
2010-06-04,-0.03502
2010-06-07,-0.01362
2010-06-08,0.01092
2010-06-09,-0.00596
2010-06-10,0.02908
2010-06-11,0.00437
2010-06-14,-0.00181
2010-06-15,0.02322
2010-06-16,-0.00056
2010-06-17,0.00128
2010-06-18,0.00132
2010-06-21,-0.00386
2010-06-22,-0.0162
2010-06-23,-0.00299
2010-06-24,-0.01695
2010-06-25,0.00286
2010-06-28,-0.00204
2010-06-29,-0.03151
2010-06-30,-0.01016
2010-07-01,-0.00325
2010-07-02,-0.00467
2010-07-06,0.00534
2010-07-07,0.03085
2010-07-08,0.00937
2010-07-09,0.00718
2010-07-12,0.00073
2010-07-13,0.01526
2010-07-14,-0.00016
2010-07-15,0.0012
2010-07-16,-0.02924
2010-07-19,0.00596
2010-07-20,0.01135
2010-07-21,-0.0129
2010-07-22,0.02226
2010-07-23,0.00819
2010-07-26,0.01114
2010-07-27,-0.00105
2010-07-28,-0.00695
2010-07-29,-0.00417
2010-07-30,6e-05
2010-08-02,0.02178
2010-08-03,-0.00481
2010-08-04,0.00603
2010-08-05,-0.00127
2010-08-06,-0.00371
2010-08-09,0.00547
2010-08-10,-0.00599
2010-08-11,-0.02858
2010-08-12,-0.00539
2010-08-13,-0.00403
2010-08-16,0.00012
2010-08-17,0.01212
2010-08-18,0.00148
2010-08-19,-0.01708
2010-08-20,-0.00367
2010-08-23,-0.00405
2010-08-24,-0.01462
2010-08-25,0.00328
2010-08-26,-0.00771
2010-08-27,0.01645
2010-08-30,-0.01483
2010-08-31,0.00039
2010-09-01,0.02908
2010-09-02,0.00904
2010-09-03,0.01313
2010-09-07,-0.01154
2010-09-08,0.00642
2010-09-09,0.00482
2010-09-10,0.00485
2010-09-13,0.01107
2010-09-14,-0.00071
2010-09-15,0.00353
2010-09-16,-0.00036
2010-09-17,0.00083
2010-09-20,0.0151
2010-09-21,-0.00257
2010-09-22,-0.00484
2010-09-23,-0.00837
2010-09-24,0.02097
2010-09-27,-0.00568
2010-09-28,0.00484
2010-09-29,-0.00259
2010-09-30,-0.00309
2010-10-01,0.00441
2010-10-04,-0.00807
2010-10-05,0.02065
2010-10-06,-0.00067
2010-10-07,-0.00165
2010-10-08,0.0061
2010-10-11,0.00015
2010-10-12,0.00381
2010-10-13,0.0071
2010-10-14,-0.00365
2010-10-15,0.00203
2010-10-18,0.00722
2010-10-19,-0.016
2010-10-20,0.01047
2010-10-21,0.00177
2010-10-22,0.00239
2010-10-25,0.00214
2010-10-26,2e-05
2010-10-27,-0.00269
2010-10-28,0.00112
2010-10-29,-0.00044
2010-11-01,0.00095
2010-11-02,0.00773
2010-11-03,0.00367
2010-11-04,0.0191
2010-11-05,0.00392
2010-11-08,-0.00212
2010-11-09,-0.00808
2010-11-10,0.00437
2010-11-11,-0.00425
2010-11-12,-0.01188
2010-11-15,-0.00122
2010-11-16,-0.01634
2010-11-17,0.00021
2010-11-18,0.01524
2010-11-19,0.00254
2010-11-22,-0.00158
2010-11-23,-0.01439
2010-11-24,0.01481
2010-11-26,-0.0075
2010-11-29,-0.00138
2010-11-30,-0.00609
2010-12-01,0.02139
2010-12-02,0.01274
2010-12-03,0.0026
2010-12-06,-0.0013
2010-12-07,0.00051
2010-12-08,0.00369
2010-12-09,0.00384
2010-12-10,0.00598
2010-12-13,5e-05
2010-12-14,0.00091
2010-12-15,-0.00514
2010-12-16,0.00617
2010-12-17,0.00084
2010-12-20,0.00255
2010-12-21,0.00601
2010-12-22,0.00337
2010-12-23,-0.00165
2010-12-27,0.00061
2010-12-28,0.00077
2010-12-29,0.00101
2010-12-30,-0.00151
2010-12-31,-0.00019
2011-01-03,0.01125
2011-01-04,-0.00131
2011-01-05,0.00499
2011-01-06,-0.00213
2011-01-07,-0.00185
2011-01-10,-0.00138
2011-01-11,0.00372
2011-01-12,0.00897
2011-01-13,-0.00171
2011-01-14,0.00736
2011-01-18,0.00138
2011-01-19,-0.01017
2011-01-20,-0.0013
2011-01-21,0.00241
2011-01-24,0.00582
2011-01-25,0.00026
2011-01-26,0.00421
2011-01-27,0.00224
2011-01-28,-0.01801
2011-01-31,0.00763
2011-02-01,0.01656
